id,question,gold_program,gold_answer,program_step1,program_step2
HIG/2004/page_140.pdf-3,Sự thay đổi trong thu nhập ròng từ hiệu ứng tích lũy của việc áp dụng là gì?,"add(30, 1)",31.0,,"divide(892, 18600)"
masvn/2020/2020145-VN_POW_Update_BUY_MAS_20201103VN/page_1_QA7,"Theo dự phóng, doanh thu và lợi nhuận ròng quý 4 năm 2020 chênh lệch bao nhiêu tỷ đồng?","subtract(9829, 642)",9187.0,,"divide(892, 18600)"
masvn/2020/2020193-VN_IndustrialRealEstate_Update_Overweight_MAS_20201215VN-N/page_11_QB9,IDC có bao nhiêu ha quỹ đất sẵn sàng cho thuê và dự kiến bổ sung thêm bao nhiêu ha trong năm 2021?,"add(495, 398)",893.0,,"divide(892, 18600)"
AMAT/2018/page_33.pdf-1,Tỷ suất lợi nhuận trên đầu tư (ROI) của Applied Materials là bao nhiêu nếu khoản đầu tư thực hiện vào tháng 10 năm 2013 được bán sau 2 năm?,"subtract(96.67, 100), divide(#0, 100)",-0.0333,,
GS/2013/page_220.pdf-4,tỷ lệ lợi nhuận tích lũy tổng cộng theo phần trăm của Goldman Sachs Group Inc. trong giai đoạn năm năm kết thúc ngày 31/12/2013 là bao nhiêu?,"subtract(248.36, 100), divide(#0, 100)",1.4836,,
CB/2008/page_229.pdf-1,Tỷ lệ tăng trưởng trong thu nhập ròng của các công ty con tại Bermuda từ năm 2007 đến 2008 là bao nhiêu?,"subtract(684, 1535), divide(#0, 1535)",-0.5544,,"divide(892, 18600)"
masvn/2020/2020058-DHC_Companynote_MAS27.05.2020/page_1_QA2,Tính tốc độ tăng trưởng doanh thu dự báo cho năm 2020 so với năm 2019.,"subtract(2147, 1430), divide(#0, 1430)",0.5014,,
masvn/2020/2020053-200427_VCB_1Q20_review_vn/page_1_QA1,"tốc độ tăng trưởng lợi nhuận sau thuế dự kiến cho năm 2020 so với năm 2019 là bao nhiêu phần trăm, dựa trên dữ liệu bảng?","subtract(19296, 18511), divide(#0, 18511)",0.04241,,"divide(892, 18600)"
FIS/2012/page_48.pdf-2,Tỷ lệ phần trăm thay đổi trong tác động của đồng euro từ năm 2011 đến năm 2012 là bao nhiêu?,"subtract(27.1, 26.4), divide(#0, 26.4)",0.02652,,"divide(892, 18600)"
masvn/2020/2020060-TLG_Companynote_MAS03.06.2020/page_1_QB7,lợi nhuận ròng dự báo năm 2020 giảm bao nhiêu phần trăm so với năm 2019?,"subtract(331, 349), divide(#0, 349)",-0.05158,,
AAL/2014/page_15.pdf-2,Tỷ lệ phần trăm của số lượng nhân viên toàn thời gian tương đương đang hoạt động là nhân viên phục vụ hành khách là bao nhiêu?,"divide(22500, 113300)",0.19859,,"divide(892, 18600)"
IPG/2017/page_92.pdf-3,Phần nào của tổng số khoản thanh toán mua lại có điều kiện sẽ đến hạn trong 12 tháng tới?,"divide(79.0, 268.4)",0.29434,,.....
masvn/2021/2021132-VNREE_Updatereport_Hold_MAS_10042021/page_10_QA1,Chênh lệch giữa giá trị hợp lý mỗi cổ phiếu của phương pháp DCF và phương pháp SoTP  là bao nhiêu?,"subtract(74300, 70647)",3653.0,,"divide(892, 18600)"
HST/2018/page_135.pdf-1,Sự thay đổi về triệu đô la của các lợi ích thuế chưa được công nhận giữa năm 2017 và 2018 là bao nhiêu?,"subtract(11, 11)",0.0,,"divide(892, 18600)"
CDW/2015/page_70.pdf-2,"Mức lỗ chuyển đổi ngoại tệ tối thiểu là bao nhiêu, tính bằng triệu?","table_max(chênh lệch tỷ giá hối đoái, none)",-6.3,,"divide(892, 18600)"
BKR/2017/page_56.pdf-2,Tiền mặt giữ thay mặt cho GE chiếm bao nhiêu phần trăm so với tiền mặt và các khoản tương đương tiền trong năm 2017?,"multiply(7, 1000), divide(997, #0)",0.14243,,"divide(892, 18600)"
masvn/2020/2020145-VN_POW_Update_BUY_MAS_20201103VN/page_1_QA5,Tính toán tỷ lệ tăng trưởng doanh thu dự phóng cho năm 2021 so với năm 2020.,"subtract(36613, 31624), divide(#0, 31624)",0.15776,,
UNP/2006/page_15.pdf-4,Tỷ lệ phần trăm của tổng số dặm tuyến là tuyến chính trong năm 2005 là bao nhiêu?,"divide(27301, 52667)",0.51837,,"divide(892, 18600)"
NCLH/2018/page_64.pdf-3,"Tỷ lệ phần trăm các cam kết tương lai cho hợp đồng chi tiêu vốn dịch vụ, bảo trì và nâng cao kinh doanh khác được thanh toán trong năm đầu tiên đến năm thứ ba là bao nhiêu?","divide(433161, 15973855)",0.02712,,"divide(892, 18600)"
masvn/2020/2020036-MAS_VN_PME_Initiate_Nov_14/page_1_QA6,tổng doanh thu dự kiến cho năm 2020F là bao nhiêu?,"divide(333, 0.159)",2094.33962,,"divide(892, 18600)"
masvn/2020/2020053-200427_VCB_1Q20_review_vn/page_1_QA8,ROE (%) thấp nhất được ghi nhận từ 2016 đến 2022 dự phóng là bao nhiêu?,"table_min(ROE (%), none)",0.117,,
MKTX/2012/page_42.pdf-3,Giá thấp nhất của cổ phiếu MKTX đã tăng bao nhiêu phần trăm từ năm 2011 đến tháng 3 năm 2012?,"subtract(29.26, 24.57), divide(#0, 24.57)",0.19088,,"subtract(34.00, 26.88), divide(#0, 26.88)"
UNP/2016/page_52.pdf-4,"Phạm vi toán học của doanh thu mảng hóa chất từ năm 2014 đến 2016 là bao nhiêu, tính bằng triệu?","subtract(3664, 3474)",190.0,,"divide(892, 18600)"
MAR/2018/page_43.pdf-1,"Trong tổng các nghĩa vụ hợp đồng và các thỏa thuận ngoài bảng cân đối kế toán, bao nhiêu phần trăm là do các hợp đồng thuê hoạt động mà chúng ta là bên chịu trách nhiệm chính?","divide(2073, 13208)",0.15695,,"divide(892, 18600)"
masvn/2020/2020007-RealEstatestocks_VaR_V_final/page_2_QA5,Tăng trưởng doanh thu của ngành Bất động sản cao hơn bao nhiêu điểm phần trăm so với mức tăng trưởng doanh thu trung bình của tất cả các công ty niêm yết trên sàn HSX ?,"subtract(52.04, 22.3)",29.74,,
masvn/2020/2020029-POW_FlashNote1H2019/page_1_QB4,Lợi nhuận sau thuế (LNST) giảm bao nhiêu tỷ VNĐ từ năm 2017 đến 2018?,"subtract(2233, 1921)",312.0,,"divide(892, 18600)"
DRE/2008/page_46.pdf-4,Tỷ lệ phần trăm cải thiện các khoản phải thu chưa lập hóa đơn trên các hợp đồng xây dựng từ năm 2007 đến năm 2008 là bao nhiêu?,"subtract(22.7, 33.1), divide(#0, 33.1)",-0.3142,,"divide(892, 18600)"
masvn/2020/2020169-VHMQ32020/page_1_QB9,"So sánh biên lợi nhuận gộp quý 3/2020 với quý 3/2019, biên lợi nhuận gộp giảm bao nhiêu phần trăm?","subtract(34, 62), divide(#0, 62)",-0.45161,,
masvn/2020/2020077-V1_VN_Galvanized-steel-Outlook/page_13_QB4,Tính giá cổ phiếu HSG theo phương pháp EV/EBITDA với EBITDA 2020 là bao nhiêu?,"multiply(2615079, 4.5)",11767855.5,,
masvn/2020/2020164-DIG_Q3Update_Tradingbuy_MAS_20201117-VN-N/page_1_QA5,chênh lệch giữa lntt dự phóng năm 2020 và lãi hoạt động dự phóng là bao nhiêu tỷ đồng?,"subtract(652, 655)",-3.0,,"divide(892, 18600)"
masvn/2020/2020163-VN_DHG_Update_BUY_MAS_20201117/page_1_QB9,Tính mức tăng doanh thu mảng hạ sốt – giảm đau từ năm 2020 đến 2021 theo dự phóng.,"subtract(987, 947)",40.0,,
masvn/2020/2020192-LTG_Companynote_MAS15.12.2020/page_1_QA4,"Dựa trên dự báo năm 2021, chi phí tài chính của năm 2020 là bao nhiêu tỷ đồng?","subtract(1, 0.10), divide(182, #0)",202.22222,,
masvn/2020/2020164-DIG_Q3Update_Tradingbuy_MAS_20201117-VN-N/page_1_QA6,"Với năm 2020, tỷ lệ thuế thu nhập doanh nghiệp dự kiến là bao nhiêu?","subtract(652, 522), divide(#0, 652)",0.19939,,"divide(892, 18600)"
masvn/2020/2020192-LTG_Companynote_MAS15.12.2020/page_1_QA6,Doanh thu mảng thuốc bảo vệ thực vật năm 2020 chiếm bao nhiêu phần trăm trong tổng doanh thu dự báo của năm 2020?,"divide(3640, 5977)",0.609,,"divide(892, 18600)"
AAL/2015/page_114.pdf-1,"Tính đến ngày 31 tháng 12 năm 2013, tỷ lệ phần trăm các khoản khiếu nại liên quan đến lao động trong tổng các khoản mục tái cơ cấu ròng là bao nhiêu?","divide(1733, 2655)",0.65273,,.....
AAPL/2006/page_100.pdf-4,Tỷ lệ thuế hiệu quả thấp nhất trong giai đoạn ba năm là bao nhiêu?,"table_min(thuế suất hiệu dụng, none)",0.27,,"divide(892, 18600)"
masvn/2020/2020040-PPC_Báocáol_n__u-05022020/page_7_QA3,tỷ suất sinh lợi trên tổng tài sản (roa) trung bình của ppc trong giai đoạn 2016-2019 là bao nhiêu?,"table_average(ROA, none)",0.11938,,
masvn/2020/2020036-MAS_VN_PME_Initiate_Nov_14/page_1_QB4,EPS của PME năm 2019F giảm bao nhiêu so với năm 2018?,"subtract(4073, 4104)",-31.0,,"divide(892, 18600)"
masvn/2020/2020058-DHC_Companynote_MAS27.05.2020/page_1_QA4,Chi phí lãi vay dự kiến cho năm 2020 chiếm bao nhiêu phần trăm trong lợi nhuận hoạt động kinh doanh (LNHĐKD) dự báo cho năm 2020?,"divide(35, 285)",0.12281,,"divide(892, 18600)"
masvn/2020/2020029-POW_FlashNote1H2019/page_1_QA7,Tổng tỷ trọng của phương pháp P/E và P/B trong định giá là bao nhiêu?,"add(0.20, 0.30)",0.5,,"divide(892, 18600)"
masvn/2020/2020056-HPG_Companynote_MAS22.05.2020/page_1_QB7,Dự phóng EPS (VND) của HPG trong năm 2020 tăng bao nhiêu phần trăm so với năm 2019?,"subtract(3627, 2726), divide(#0, 2726)",0.33052,,"divide(892, 18600)"
GS/2013/page_220.pdf-1,tỷ suất lợi nhuận tổng cộng trong năm năm của Goldman Sachs Group Inc. là bao nhiêu?,"subtract(248.36, 100)",148.36,,
